plant_id,bus_id,distance,plant_Pmax,bus_capacity
1,153567,31170.32320857693,104.0,4997.0
2,109058,116.13695696355204,306.2,10472.0
4,109058,116.13695696355204,1192.5,10472.0
6,109058,116.13695696355204,680.4,10472.0
8,109058,116.13695696355204,390.4,10472.0
12,110902,71.07929767826542,225.0,956.0
15,110143,244.99683071934444,138.0,4997.0
17,112080,1911.7084732195567,1166.7,1793.0
20,302880,62.543717566532194,86.9,939.0
21,110568,10163.275866816688,568.4,239.0
23,110568,10163.275866816688,720.0,239.0
32,110192,98.8928899979366,72.9,717.0
35,153567,10630.282085813384,90.0,4997.0
36,155346,596.8242767803827,100.0,1673.0
40,109875,17.042556248296936,128.10000000000002,956.0
43,111337,15394.681447668008,177.0,239.0
49,109169,195.379449724886,210.6,2612.0
53,155347,175.28546932303863,170.0,956.0
57,112236,15419.116634687563,181.0,939.0
59,109165,48.24961689307839,91.0,1195.0
62,149955,20.440369647123,87.6,478.0
65,109168,88.13160757067381,50.5,1417.0
67,111678,9349.342349695557,1060.8,239.0
70,111678,9349.342349695557,1400.0,239.0
71,111678,9349.342349695557,32.0,239.0
73,130035,21.45639869213528,11.8,86.0
78,309468,12.943508686519111,12.1,700.0
79,133844,103.98788372342226,101.1,478.0
82,153052,178.25346275689833,3494.0,10594.000025543479
85,149528,184.2560996333275,476.0,5798.0
93,155340,207.56052165108525,115.2,4330.0
97,114930,268.62649912542093,404.00000000000006,2676.0
108,111872,367.8833677838971,720.7,3893.0
109,109042,356.7507563897327,3.0,956.0
111,109447,136.2978140046633,1055.0,2546.0
120,109054,4508.175093985524,5.2,239.0
123,109067,191.54254488048824,538.0,5697.0
126,131925,194.00628209834807,109.8,956.0
127,131726,127.2170516221852,76.3,2339.0
128,131726,127.2170516221852,250.0,2339.0
188,306537,21397.9027673947,257.0,3500.0
189,129010,15903.245384138289,4.6,786.0
226,200892,116.105973816834,177.8,1178.0
228,303752,17535.447177555812,1.4,786.0
229,301470,6.006387376651124,199.8,797.0
230,118031,7135.737239497763,348.7,478.0
238,306857,120.3681375625596,839.9,7498.0
241,307626,64093.31232870902,26.1,700.0
242,303830,184.88664308143,227.2,6397.0
244,303830,184.88664308143,106.2,6397.0
246,307289,457.31394935590697,396.0,5783.0
249,307289,457.31394935590697,460.0,5783.0
