"state","id","lat","lon","a.land.m2","pop.2010","h.units.2010","res.area.m2","com.area.m2","ind.area.m2","res.area.natgas.m2","res.area.fok.m2","res.area.othergas.m2","res.area.elec.m2","res.area.other.m2","frac.natgas.res","frac.fok.res","frac.othergas.res","frac.elec.res","frac.other.res","frac.natgas.com","frac.fok.com","frac.othergas.com","frac.elec.com","frac.other.com","hdd65","cdd65","acpen","frac.ff.res","frac.ff.com","acpen.res","acpen.com","t.min","t.max","tadj.rcp26","tadj.rcp45","nerc.subregion","hd_183C_10yr","hd_167C_10yr","hd_183C_2010","hd_167C_2010","res.area.adj.m2","htg.slope.res.btu.m2.degC.adj"
"MD",24001000100,39.6365143,-78.5094487,486754135,3718,2005,276609.873409753,31391.4725214971,3851.38832404666,8976.77325027878,104589.846474178,8976.77325027878,60123.5045600067,93942.9758750105,0.0324528301886792,0.37811320754717,0.0324528301886792,0.217358490566038,0.339622641509434,0.0592980022197557,0.690890677025527,0.0324528301886792,0.217358490566038,0,4853,1175,0.964331109519945,0.443018867924528,0.782641509433962,0.964331109519945,1,-20,40.6,0.910226415094339,1.3577323943662,17,664644.35,575878.25,68920.1,60314.2,340721.865769413,4.78813897251496
"MD",24001000200,39.6123087,-78.7031084,124492974,4564,1468,204165.952732052,154273.67476713,69430.6243351704,21551.7645510869,76336.0210053764,11187.1754921672,56100.3947474857,38990.5969359358,0.105560032232071,0.37389202256245,0.0547945205479452,0.27477840451249,0.190975020145044,0.147606633306022,0.522820441633543,0.0547945205479452,0.27477840451249,0,4853,1175,0.964331109519945,0.534246575342466,0.72522159548751,0.964331109519945,1,-23,35,0.910226415094339,1.3577323943662,17,848730.716666667,745415.888095238,93930.1666666667,83593.7714285714,251487.061846151,4.78813897251496
"MD",24001000300,39.7083649,-78.7434027,22419543,2780,1255,175417.105071669,31889.0614155561,21562.8882938017,72875.4885040389,44337.9631385192,1128.6026980714,49980.9766288762,7094.07410216308,0.415441176470588,0.252757352941176,0.00643382352941176,0.284926470588235,0.0404411764705882,0.440584796504571,0.268054909377781,0.00643382352941176,0.284926470588235,0,4853,1175,0.964331109519945,0.674632352941176,0.715073529411764,0.964331109519945,1,-23,35,0.910226415094339,1.3577323943662,17,848730.716666667,745415.888095238,93930.1666666667,83593.7714285714,216074.873218104,4.78813897251496
"MD",24001000400,39.684418,-78.7270888,9642730,3022,1592,209581.084694644,32525.3537252141,1442.5983930426,124352.525852903,25000.3772602441,3733.82257782867,51624.1556412833,4870.20336238522,0.593338497288923,0.119287374128582,0.0178156467854376,0.246320681642138,0.0232378001549187,0.612686491765736,0.123177179806688,0.0178156467854376,0.246320681642138,0,4853,1175,0.964331109519945,0.730441518202943,0.753679318357862,0.964331109519945,1,-23,35,0.910226415094339,1.3577323943662,17,848730.716666667,745415.888095238,93930.1666666667,83593.7714285714,258157.30048564,4.78813897251496
"MD",24001000500,39.6562943,-78.7293926,11453313,2734,1311,169701.15334055,72023.1751544971,315.870345290304,73775.7022052793,23001.6623503758,2385.357577076,56567.0511135167,9882.19567645773,0.434738955823293,0.135542168674699,0.0140562248995984,0.333333333333333,0.0582329317269076,0.479131313988348,0.149382742236552,0.0140562248995984,0.333333333333333,0,4853,1175,0.964331109519945,0.58433734939759,0.642570281124498,0.964331109519945,1,-23,35,0.910226415094339,1.3577323943662,17,848730.716666667,745415.888095238,93930.1666666667,83593.7714285714,209034.091504612,4.78813897251496
"MD",24001000600,39.6409546,-78.7398353,4084905,2965,1502,189090.393695618,61420.2443838333,4467.70719081291,135123.719290518,24705.9711470916,1104.17748143426,19875.1946658167,6210.99833306773,0.714598540145985,0.130656934306569,0.00583941605839416,0.105109489051095,0.0328467153284672,0.74236791346772,0.135734276313301,0.00583941605839416,0.105109489051095,0,4853,1175,0.964331109519945,0.851094890510948,0.883941605839415,0.964331109519945,1,-23,35,0.910226415094339,1.3577323943662,17,848730.716666667,745415.888095238,93930.1666666667,83593.7714285714,232917.324840409,4.78813897251496
"MD",24001000700,39.6329587,-78.7526552,1844972,3387,1761,213316.156342731,37046.2019101319,1811.88798540388,153532.486204374,2005.32226879183,2506.65283598979,51261.0504959911,4010.64453758366,0.719741480611046,0.00940070505287897,0.0117508813160987,0.240305522914219,0.0188014101057579,0.738300487363305,0.00964310840637786,0.0117508813160987,0.240305522914219,0,4853,1175,0.964331109519945,0.740893066980024,0.759694477085782,0.964331109519945,1,-23,35,0.910226415094339,1.3577323943662,17,848730.716666667,745415.888095238,93930.1666666667,83593.7714285714,262758.078343028,4.78813897251496
"MD",24001000800,39.6288831,-78.7630037,3251323,2213,1066,135477.346635681,38115.5164765307,6313.69060211612,106420.046879121,3516.48850557095,2961.25347837554,19803.3826366364,2776.17513597707,0.78551912568306,0.0259562841530055,0.0218579234972678,0.146174863387978,0.0204918032786885,0.805355467240713,0.026611745874041,0.0218579234972678,0.146174863387978,0,4853,1175,0.964331109519945,0.833333333333333,0.853825136612022,0.964331109519945,1,-23,35,0.910226415094339,1.3577323943662,17,848730.716666667,745415.888095238,93930.1666666667,83593.7714285714,166877.970573451,4.78813897251496
"MD",24001001000,39.6576457,-78.7684363,1159591,2547,1500,174181.497989752,142782.402321386,5454.98771142211,121913.035600229,7426.88607679556,2242.0788156364,41338.328163296,1261.16933379547,0.699919549477072,0.0426387771520515,0.0128720836685438,0.237329042638777,0.00724054706355591,0.706744333816502,0.0430545398761777,0.0128720836685438,0.237329042638777,0,4853,1175,0.964331109519945,0.755430410297667,0.762670957361224,0.964331109519945,1,-23,35,0.910226415094339,1.3577323943662,17,848730.716666667,745415.888095238,93930.1666666667,83593.7714285714,214552.88000391,4.78813897251496
"MD",24001001100,39.6510064,-78.7722271,780797,1493,977,111190.447677086,49541.753665301,2060.77524814449,89937.2618740064,8682.70395613606,0,7775.55578161439,2203.07413812408,0.808857808857809,0.0780885780885781,0,0.0699300699300699,0.0198135198135198,0.826926905770533,0.0798330009893742,0,0.0699300699300699,0,4853,1175,0.964331109519945,0.886946386946387,0.906759906759907,0.964331109519945,1,-23,35,0.910226415094339,1.3577323943662,17,848730.716666667,745415.888095238,93930.1666666667,83593.7714285714,136961.910727433,4.78813897251496
