"state","id","lat","lon","a.land.m2","pop.2010","h.units.2010","res.area.m2","com.area.m2","ind.area.m2","res.area.natgas.m2","res.area.fok.m2","res.area.othergas.m2","res.area.elec.m2","res.area.other.m2","frac.natgas.res","frac.fok.res","frac.othergas.res","frac.elec.res","frac.other.res","frac.natgas.com","frac.fok.com","frac.othergas.com","frac.elec.com","frac.other.com","hdd65","cdd65","acpen","frac.ff.res","frac.ff.com","acpen.res","acpen.com","t.min","t.max","tadj.rcp26","tadj.rcp45","nerc.subregion","hd_183C_10yr","hd_167C_10yr","hd_183C_2010","hd_167C_2010","res.area.adj.m2","htg.slope.res.btu.m2.degC.adj"
"OK",40001376600,36.1119482,-94.6588008,205684899,2843,1184,171729.973986075,16232.1119812337,2486.73560200272,9029.2807353649,694.560056566531,60774.0049495715,46014.6037475327,52960.204313198,0.0525783619817998,0.00404448938321537,0.353892821031345,0.267947421638018,0.308392315470172,0.338942654918388,0.0260725119167991,0.353892821031345,0.267947421638018,0,3495,1729,0.994180360000616,0.41051567239636,0.718907987866532,0.994180360000616,1,-26,43,0.86175471698113,1.33870422535211,21,535826.102380952,458817.651190476,57374.8,49768.5,155797.777618699,6.71059864378287
"OK",40001376700,36.0080904,-94.6630752,361031962,5354,2263,311059.451805943,30170.1688018385,14742.0401189576,110166.889181271,2106.13170493607,58485.6573447632,64156.0119349756,76144.7616399963,0.354166666666667,0.00677083333333333,0.188020833333333,0.20625,0.244791666666667,0.594366281866282,0.0113628848003848,0.188020833333333,0.20625,0,3872,1461,0.985858878402266,0.548958333333333,0.79375,0.985858878402266,1,-26,43,0.86175471698113,1.33870422535211,21,535826.102380952,458817.651190476,57374.8,49768.5,282201.005297924,6.47300991461486
"OK",40001376800,35.8012051,-94.730733,476758028,4845,1928,277256.679404087,2305.76056648255,149.666791865818,22480.2713030341,624.451980639836,90389.4241976162,68845.8308655419,92731.1191250156,0.0810810810810811,0.00225225225225225,0.326013513513513,0.248310810810811,0.334459459459459,0.406501095690285,0.0112916971025079,0.326013513513513,0.248310810810811,0,3872,1461,0.985858878402266,0.409346846846846,0.743806306306306,0.985858878402266,1,-23,45,0.847245283018868,1.31202816901408,21,553388.797619048,475869.888095238,58671.5,51159.9833333333,251534.274876204,6.47300991461486
"OK",40001376900,35.8117205,-94.6393417,39832062,4535,1893,222412.480451672,71872.2072629883,2748.07192691612,138009.79556232,0,10122.6193026081,67151.4604440625,7128.60514268179,0.620512820512821,0,0.0455128205128205,0.301923076923077,0.032051282051282,0.652564102564103,0,0.0455128205128205,0.301923076923077,0,3872,1461,0.985858878402266,0.666025641025641,0.698076923076923,0.985858878402266,1,-26,45,0.847245283018868,1.31202816901408,21,553714.597619048,476159.788095238,58680.6,51167.9833333333,201778.229884566,6.47300991461486
"OK",40001377000,35.7649714,-94.5748517,401991162,5106,1874,272345.080308286,48565.5289947865,14317.4733441444,64913.7915430143,325.382413749445,60033.0553367726,54826.9367167815,92245.9142979677,0.238351254480287,0.001194743130227,0.220430107526882,0.20131421744325,0.338709677419355,0.575371606825231,0.00288406820463774,0.220430107526882,0.20131421744325,0,3872,1461,0.985858878402266,0.459976105137396,0.798685782556751,0.985858878402266,1,-19,45,0.847245283018868,1.31202816901408,21,478594.840476191,407106.823809524,52867.7238095238,45580.7071428571,247078.347900161,6.47300991461486
"OK",40003955600,36.851037,-98.2986917,1095339157,1469,1021,157058.716212055,26867.3733674942,8987.25431975219,70309.6990450103,0,50076.6921255829,34901.9369360123,1770.3881054499,0.447665056360709,0,0.318840579710145,0.222222222222222,0.0112721417069243,0.458937198067633,0,0.318840579710145,0.222222222222222,0,4291,1992,0.997605727173056,0.766505636070854,0.777777777777778,0.997605727173056,1,-27,47,0.880283018867924,1.36716901408451,21,569630.611904762,493299.121428571,58196.6,50601.85,142487.641344825,6.20895241455811
"OK",40003955700,36.7430512,-98.4407255,297899194,1338,712,115908.991933191,16533.8609576055,6220.13726684897,83575.4884738508,0,10399.6648553434,20421.1600795834,1512.67852441359,0.721044045676998,0,0.0897226753670473,0.176182707993475,0.0130505709624796,0.734094616639478,0,0.0897226753670473,0.176182707993475,0,4291,1992,0.997605727173056,0.810766721044045,0.823817292006525,0.997605727173056,1,-27,47,0.880283018867924,1.36716901408451,21,569630.611904762,493299.121428571,58196.6,50601.85,105155.570283142,6.20895241455811
"OK",40003956000,36.5606474,-98.3171198,850868607,2835,1030,156513.74890065,38431.0145491204,5136.51623523085,89044.16290839,0,26477.8898516138,36284.5157225818,4707.18041806467,0.568922305764411,0,0.169172932330827,0.231829573934837,0.0300751879699248,0.598997493734336,0,0.169172932330827,0.231829573934837,0,4336,1803,0.995459976662145,0.738095238095238,0.768170426065163,0.995459976662145,1,-27,47,0.880283018867924,1.36716901408451,21,569677.811904762,493351.621428571,58196.6,50601.85,141993.233210817,6.18059301717731
"OK",40005587600,34.5250211,-95.951707,942222986,1449,761,112101.638353178,7184.93523505563,1672.25472,22379.264799444,821.257423832807,38393.7845641837,35724.6979367271,14782.6336289905,0.1996336996337,0.00732600732600733,0.342490842490842,0.318681318681319,0.131868131868132,0.326833933028624,0.0119939057992155,0.342490842490842,0.318681318681319,0,3380,1970,0.99741955213792,0.549450549450549,0.681318681318682,0.99741955213792,1,-18,45,0.844169811320757,1.28435211267606,21,434773.297619048,367764.726190476,43719.15,37082.95,101701.442779328,6.78307265931157
"OK",40005587700,34.4119646,-96.1339385,163073391,4082,1907,267420.666860203,103587.16780094,21650.8678294294,136912.97614699,0,37631.0519234418,90794.9210237935,2081.71776597763,0.511976047904192,0,0.140718562874251,0.339520958083832,0.00778443113772455,0.519760479041917,0,0.140718562874251,0.339520958083832,0,3380,1970,0.99741955213792,0.652694610778443,0.660479041916168,0.99741955213792,1,-18,45,0.851377358490563,1.27853521126761,21,420192.947619048,354087.526190476,41417.7,34966.4,242610.79541949,6.78307265931157
